Phase,Phi1,Phi,Phi2,KAM,Y,X
1,72.71449,123.79908,11.46265,0,0,0
1,75.77956,130.27475,45.52579,16.4648,1,0
1,83.53379,131.21188,47.47559,0,2,0
1,86.3488,132.5669,47.52369,1.5477,3,0
1,89.34582,134.40722,48.48527,1.526913,4,0
1,88.10723,133.97001,47.62711,0.4949524,5,0
1,90.29649,135.29583,48.46094,1.081732,6,0
1,88.79755,134.45708,46.4885,0.8167639,7,0
1,89.40447,134.04746,47.32446,0.3629326,8,0
1,88.96048,133.64921,46.18887,0.4864936,9,0
1,88.78834,132.70828,45.95805,0.4779904,10,0
1,88.62465,133.69804,46.86272,0.7119673,11,0
1,88.39456,133.09328,46.31095,0.3703682,12,0
1,100.04284,84.85956,14.60356,0,13,0
1,98.54227,83.56641,15.04842,0.9983892,14,0
1,98.13807,86.29101,16.28018,1.501306,15,0
1,108.36524,70.27731,1.30293,0,16,0
1,105.58659,71.71826,0.43482,1.740769,17,0
1,104.9737,72.79286,359.40868,0.8612018,18,0
1,102.88891,71.53157,357.75225,1.642873,19,0
1,102.29334,72.35703,358.06958,0.5048819,20,0
1,102.94867,71.15547,358.39981,0.7276195,21,0
1,101.86134,72.76039,358.03111,1.017629,22,0
1,98.16874,72.9395,357.48799,1.94583,23,0
1,94.45141,74.69958,356.41739,2.251619,24,0
1,92.99021,74.62268,356.08876,0.7910537,25,0
1,97.83659,71.99384,357.39791,2.989643,26,0
1,94.52047,74.32045,355.39692,2.46254,27,0
1,93.95901,74.24969,355.59643,0.2735744,28,0
1,92.87106,74.13533,355.1543,0.6430838,29,0
1,89.41516,74.38607,354.08404,1.946651,30,0
1,82.86011,157.44493,35.70861,0,31,0
1,84.23838,155.7328,32.53393,2.39477,32,0
1,84.15121,154.30014,31.45373,0.8741023,33,0
1,81.65092,153.46121,30.0086,0.7991984,34,0
1,101.22799,150.13869,44.48653,0,35,0
1,101.82421,149.5247,43.73136,0.7213329,36,0
1,106.68348,152.7747,49.07954,2.07537,37,0
1,111.04147,150.7889,50.88772,1.75462,38,0
1,108.78173,152.23097,51.19493,1.457776,39,0
1,109.25025,152.95286,51.42933,0.3874904,40,0
1,100.21613,44.52325,4.88212,0,41,0
1,98.6048,44.18233,3.1398,1.562302,42,0
1,98.12444,43.6167,3.42223,0.3297467,43,0
1,98.1899,42.69607,2.78375,0.5473821,44,0
1,98.83736,43.7801,2.49978,0.593096,45,0
1,97.95513,43.57288,2.65982,0.4008255,46,0
1,102.12842,43.38156,2.3671,1.9853,47,0
1,104.15473,41.31443,2.45822,1.471373,48,0
1,106.41595,43.52708,2.79412,1.676497,49,0
1,113.32451,42.63598,2.53219,0,50,0
1,69.78158,146.93186,359.05936,0,51,0
1,70.48063,146.05502,0.03614,0.5178965,52,0
1,71.01833,145.9917,1.01053,0.3056169,53,0
1,73.30542,145.57127,1.27794,1.056831,54,0
