Phase,Phi1,Phi,Phi2,KAM,Y,X
1,75.73284,123.51154,11.58119,0,0,0
1,76.31631,129.44593,45.2285,0,1,0
1,82.31989,130.38016,47.08993,0,2,0
1,85.06154,131.46707,47.17932,1.447816,3,0
1,87.31124,133.15103,47.80438,1.264317,4,0
1,86.48715,132.88819,47.08078,0.3384271,5,0
1,88.57366,134.24151,47.94622,1.054125,6,0
1,87.26148,133.35684,46.06793,0.8093956,7,0
1,87.77016,133.06104,46.9425,0.354243,8,0
1,87.13196,132.99102,46.00987,0.3426899,9,0
1,87.11311,131.88937,45.72126,0.5678735,10,0
1,86.95744,132.91063,46.59344,0.709049,11,0
1,87.02913,132.24226,45.9916,0.467021,12,0
1,99.07124,85.1589,15.51691,0,13,0
1,97.53246,83.97724,16.44766,1.043924,14,0
1,97.51551,86.50305,17.12935,1.307929,15,0
1,108.12462,69.99231,1.3492,0,16,0
1,105.53618,71.16522,0.58151,1.580053,17,0
1,104.76945,72.23442,359.60757,0.8872017,18,0
1,102.96749,70.90542,358.20518,1.464371,19,0
1,102.3366,71.74665,358.47017,0.5169268,20,0
1,102.86648,70.77863,358.6238,0.5687085,21,0
1,101.59344,72.31799,358.28315,1.046512,22,0
1,98.42131,72.63477,357.83747,1.674265,23,0
1,95.24681,74.12464,356.94738,1.917358,24,0
1,94.37492,73.89324,356.64104,0.5134966,25,0
1,98.53948,71.61574,357.65863,2.553234,26,0
1,95.5045,73.84213,355.9504,2.245125,27,0
1,94.97351,73.71874,356.19242,0.2664352,28,0
1,93.65162,73.95814,355.69016,0.7788745,29,0
1,90.70224,74.28216,354.86265,1.644999,30,0
1,83.41482,157.98756,36.68345,0,31,0
1,84.0427,156.57404,33.49761,2.014429,32,0
1,84.79546,155.29355,33.01235,0.8815961,33,0
1,82.29826,154.47042,31.48038,0.7636263,34,0
1,102.02735,150.13564,45.48056,0,35,0
1,103.003,150.103,45.3678,0.5376894,36,0
1,108.02029,152.72242,50.69225,1.833832,37,0
1,111.25962,150.66216,51.6641,1.591977,38,0
1,109.75982,152.28065,52.31023,1.321844,39,0
1,110.52106,152.96788,52.86885,0.3900524,40,0
1,98.59535,44.63456,5.03786,0,41,0
1,98.09803,44.40166,3.5114,0.9636149,42,0
1,97.50775,43.90376,3.91478,0.3230201,43,0
1,97.52703,43.15801,3.61635,0.3991347,44,0
1,97.91593,44.19314,3.2507,0.5363598,45,0
1,97.2814,44.06899,3.55838,0.2410671,46,0
