Phase,Phi1,Phi,Phi2,KAM,Y,X
1,79.69116,123.51971,11.86355,0,0,0
1,77.03208,128.63592,45.12777,0,1,0
1,80.46583,129.43443,46.53972,1.44173,2,0
1,82.83511,130.07726,46.54466,1.225939,3,0
1,84.7807,131.48864,46.90899,1.116224,4,0
1,84.39415,131.34917,46.29862,0.2393998,5,0
1,85.80533,132.54235,47.03427,0.8012986,6,0
1,84.39097,131.67533,45.24088,0.8010185,7,0
1,85.07681,131.51797,46.17597,0.3598609,8,0
1,84.28429,131.73744,45.46745,0.3287233,9,0
1,84.26866,130.30245,44.9716,0.757486,10,0
1,84.48775,131.65596,46.03875,0.8234228,11,0
1,84.64995,130.934,45.42163,0.5148957,12,0
1,97.72314,85.47843,16.36258,0,13,0
1,96.18333,84.73578,17.64577,1.028581,14,0
1,96.42924,87.00875,18.13792,1.17116,15,0
1,107.33118,69.72342,1.34249,0,16,0
1,105.0864,70.59325,0.66649,1.349313,17,0
1,104.40386,71.505,359.80554,0.7778218,18,0
1,103.08176,70.19349,358.87831,1.132694,19,0
1,102.4991,70.98305,359.04278,0.4812048,20,0
1,102.61772,70.30762,358.96115,0.3429732,21,0
1,101.65038,71.75082,358.81512,0.884823,22,0
1,99.09847,72.29052,358.44199,1.372096,23,0
1,96.70982,73.09824,357.74939,1.39838,24,0
1,96.18526,72.86371,357.36783,0.3850095,25,0
1,99.60224,71.17055,357.98742,2.0145,26,0
1,97.32661,72.9053,356.84827,1.664621,27,0
1,96.68094,72.7981,357.05546,0.3132181,28,0
1,95.14384,73.53305,356.52297,0.9566069,29,0
1,93.06887,73.87885,356.07741,1.133835,30,0
1,84.10666,158.573,37.83414,0,31,0
1,84.07376,157.64362,34.85914,1.543831,32,0
1,85.2085,156.51423,34.80742,0.8176013,33,0
1,83.47934,155.81766,33.73492,0.5551264,34,0
1,103.78997,150.27232,47.47448,0,35,0
1,105.13803,150.77837,48.05156,0.5127981,36,0
1,109.88407,152.68641,53.02971,1.526452,37,0
1,112.23187,150.79661,53.32077,1.411016,38,0
1,110.82715,152.26896,53.55439,1.092308,39,0
1,111.77499,152.90775,54.24718,0.3938632,40,0
1,96.9778,44.93148,5.5008,0,41,0
1,96.99894,44.85558,4.28981,0.5992566,42,0
1,96.30082,44.5212,4.92169,0.3046378,43,0
1,96.45003,44.04649,4.83221,0.2431576,44,0
1,96.40363,44.84839,4.4049,0.4626262,45,0
1,96.37338,44.73756,4.70986,0.1525652,46,0
1,97.76617,44.6246,4.58632,0.6563506,47,0
1,100.00394,44.43147,4.61532,1.133388,48,0
1,101.57048,44.82926,4.67928,0.8305104,49,0
1,103.39421,44.81649,4.50771,0.8531876,50,0
1,78.02799,145.57009,1.95925,0,51,0
1,77.24317,145.1102,2.15271,0.527884,52,0
1,76.61689,145.18758,2.76165,0.5905407,53,0
1,76.93356,145.03437,2.40538,0.3300654,54,0
1,77.47734,145.55216,3.36889,0.3970833,55,0
1,77.50381,145.57872,2.89432,0.2486676,56,0
1,76.96652,145.18533,2.39557,0.2505612,57,0
1,76.88604,145.74563,2.09557,0.3044018,58,0
1,79.23932,145.70529,2.8538,0.8895909,59,0
1,79.10643,145.24636,3.31805,0.3692817,60,0
1,79.29029,145.60096,3.32787,0.197918,61,0
1,80.0049,145.26905,3.11141,0.4802203,62,0
1,80.48128,145.03279,3.40316,0.1869165,63,0
1,80.11058,144.26107,3.28175,0.4105813,64,0
1,80.61124,144.37587,3.69079,0.1568939,65,0
1,79.6393,143.91193,3.11311,0.3819315,66,0
1,80.71167,144.5264,4.0215,0.4393598,67,0
1,81.36091,143.86311,5.15914,0.4892908,68,0
1,80.77952,144.44521,4.31559,0.3851397,69,0
1,81.60889,144.79849,5.20206,0.3160597,70,0
1,77.56549,145.63198,2.05028,1.229056,71,0
1,88.74922,103.64573,8.579,0,72,0
1,90.16061,104.20453,10.70275,1.158837,73,0
1,89.40409,103.97653,11.21559,0.518703,74,0
1,88.35346,102.17515,11.39078,1.056252,75,0
1,85.92274,100.26731,9.99712,1.594605,76,0
1,88.20236,104.2425,11.46801,2.331059,77,0
1,89.35907,105.04425,13.31186,1.037066,78,0
1,91.46433,105.89967,14.55621,1.152639,79,0
1,90.19271,104.98361,14.32195,0.7668765,80,0
1,91.36264,105.56999,14.83343,0.6439778,81,0
1,88.75062,102.94586,14.42305,1.826735,82,0
1,86.905,102.3994,15.44345,1.18029,83,0
1,26.12578,52.58642,34.85365,0,84,0
1,90.39399,38.06705,45.82736,0,85,0
1,94.56344,39.29038,43.57423,1.523798,86,0
1,95.04806,39.71658,45.94386,1.396759,87,0
1,98.16322,38.96543,43.77786,1.063311,88,0
1,99.9617,39.28795,43.20768,0.719831,89,0
1,101.14498,39.69698,41.43514,0.6066537,90,0
1,101.38633,39.75721,38.8914,1.18196,91,0
1,101.56719,38.23328,39.75795,0.9150891,92,0
1,102.71647,38.42036,39.73488,0.5733147,93,0
1,103.72702,37.96092,39.79131,0.5755708,94,0
1,103.72585,39.68532,39.82816,0.8623894,95,0
1,104.52892,37.6799,39.42147,1.039474,96,0
1,106.34765,37.45868,38.7339,0.67954,97,0
1,43.6155,158.39883,11.35087,0,98,0
1,39.05805,158.87427,8.33277,1.058891,99,0
1,39.28772,159.09248,7.75565,0.4125815,100,0
1,41.46731,159.54608,9.83956,0.4472512,101,0
1,39.60262,159.73758,8.16861,0.3403737,102,0
1,37.59207,160.36998,5.20983,0.7093077,103,0
1,36.11358,160.42863,4.81081,0.5561175,104,0
1,37.21776,160.58947,7.07272,0.6427364,105,0
1,39.00507,159.89913,8.2221,0.5303951,106,0
1,102.78544,91.68465,40.38612,0,107,0
1,100.68111,90.8317,39.6363,1.188331,108,0
1,101.34153,90.622,39.59131,0.3474595,109,0
1,100.45537,90.62291,38.78367,0.5962387,110,0
1,100.56168,90.58227,39.5113,0.3676861,111,0
1,100.80321,90.80177,39.7173,0.1921927,112,0
1,101.13436,90.7307,39.57535,0.1844703,113,0
1,100.14035,91.07323,39.69395,0.5298966,114,0
1,100.27509,91.32217,40.02073,0.2150966,115,0
1,99.64144,91.19547,39.92437,0.3256402,116,0
1,99.7887,91.62504,40.22751,0.2719886,117,0
1,98.63829,92.21271,40.46732,0.6604451,118,0
1,97.3662,92.93946,40.80014,0.7574925,119,0
1,97.73494,92.79258,40.90439,0.2028318,120,0
1,98.32349,92.42133,40.4826,0.4137333,121,0
1,82.01584,123.51656,11.5049,1.27019,0,1
1,80.80483,124.11259,11.08894,0.9909725,1,1
1,81.36981,130.33896,45.09507,2.334178,2,1
1,81.97527,130.76128,45.70427,1.042739,3,1
1,83.47571,131.30327,46.41063,0.9439707,4,1
1,84.02209,131.05985,47.20512,0.7338206,5,1
1,84.67265,132.945,46.27909,1.230402,6,1
1,84.67965,131.81051,46.35031,0.8000777,7,1
1,83.82614,131.43864,46.03702,0.8034797,8,1
1,84.45911,131.30924,46.1464,0.4836333,9,1
1,82.01738,129.61273,45.16044,2.008521,10,1
1,83.52386,130.79568,45.64902,1.063551,11,1
1,83.03455,131.44261,45.25624,0.8664534,12,1
1,84.47351,130.65493,46.48975,0.864916,13,1
1,107.39687,69.16665,0.50158,0,14,1
1,106.00289,69.99792,0.5679,0.8021948,15,1
1,104.60254,71.64378,359.56667,2.249993,16,1
1,102.43322,72.02552,358.84007,3.266157,17,1
1,103.80515,71.56955,359.0136,1.307629,18,1
1,102.7078,70.81349,358.90823,1.087902,19,1
1,102.16274,70.17654,358.98622,0.6490455,20,1
1,100.49582,71.56246,358.61594,1.781682,21,1
1,98.8455,71.26911,357.79253,2.451143,22,1
1,96.9534,72.45651,357.94022,2.408974,23,1
1,97.77544,72.42531,357.7875,0.9275731,24,1
1,99.03242,72.01071,358.70316,2.094223,25,1
1,97.36201,71.89942,357.24337,1.677835,26,1
1,96.4542,72.98327,357.03862,1.574798,27,1
1,94.32579,73.40902,356.53382,2.034702,28,1
1,94.47753,73.29313,356.90185,0.8665155,29,1
1,83.48957,159.00653,36.30336,0,30,1
1,85.07603,156.69561,34.99895,2.617646,31,1
1,84.43359,156.8191,34.63397,1.321188,32,1
1,84.74969,156.60849,34.38295,0.5829995,33,1
1,105.15242,150.65544,49.47638,0,34,1
1,106.60366,150.22454,49.71829,0.910003,35,1
1,105.90534,150.5487,49.0752,0.5367308,36,1
1,111.09387,151.13621,52.76726,1.95026,37,1
1,111.61877,152.26405,53.99917,1.096686,38,1
1,109.43039,151.97431,51.74284,1.005459,39,1
1,111.75459,152.45974,54.6301,0.6462789,40,1
1,97.37915,44.95795,5.15805,0.1453691,41,1
1,96.35314,44.21178,4.78015,0.9360342,42,1
1,96.48951,43.93838,4.81511,0.4784434,43,1
1,96.52327,44.64004,4.53663,0.4224851,44,1
1,96.70652,44.62295,4.48631,0.3017358,45,1
1,96.18547,44.7562,4.22795,0.4366617,46,1
1,97.01968,45.0604,5.01589,0.7917212,47,1
1,98.18267,44.75986,4.79514,0.8476586,48,1
1,100.24921,45.15555,5.16437,1.125025,49,1
1,99.683,46.56158,7.63119,2.123844,50,1
1,77.96818,146.26263,2.84872,0.5836267,51,1
1,76.53698,145.32977,2.32581,1.025147,52,1
1,77.56895,145.21723,2.90674,0.5062288,53,1
1,77.81023,145.71986,3.12716,0.6070338,54,1
1,76.36012,145.30618,2.46394,0.6053863,55,1
1,77.93808,145.4002,3.02392,0.582676,56,1
1,77.7017,145.3901,2.33608,0.5190859,57,1
1,78.07184,145.30841,2.44124,0.5991482,58,1
1,79.22085,145.37367,3.3546,0.6990209,59,1
1,79.75876,145.43511,3.31253,0.414996,60,1
1,79.13169,145.48062,2.88293,0.3074521,61,1
1,79.78659,145.0502,3.78714,0.547341,62,1
1,80.40728,145.04904,2.99136,0.564395,63,1
1,79.96552,144.75906,2.95045,0.3635803,64,1
1,79.65796,144.27897,3.04024,0.371488,65,1
1,79.38758,144.25942,2.76672,0.3245342,66,1
1,80.60849,144.03173,3.54286,0.5244321,67,1
1,81.01243,144.39839,4.69101,0.5020717,68,1
1,81.29282,144.13294,5.02333,0.2837391,69,1
1,79.74837,144.44337,4.76027,1.088686,70,1
1,87.37172,101.07865,7.83341,0,71,1
1,89.47053,100.84258,8.02062,1.687144,72,1
1,90.01154,101.05679,8.45766,1.851845,73,1
1,88.89879,101.42993,8.839,2.041622,74,1
1,88.11963,101.98237,9.66238,1.434684,75,1
1,86.75035,101.122,10.58655,1.300588,76,1
1,86.08166,101.8857,10.34889,1.466867,77,1
1,88.40558,103.82366,12.06727,1.441264,78,1
1,89.23219,103.81083,12.85645,1.378702,79,1
1,89.74724,104.32955,14.33148,1.154188,80,1
1,90.49971,104.21644,14.28073,0.8074862,81,1
1,89.35677,104.66718,14.65789,1.338081,82,1
1,86.21855,100.17362,12.39474,3.353074,83,1
1,88.24962,101.66711,10.75059,2.802964,84,1
1,89.35306,41.25223,47.75029,1.720682,85,1
1,97.24149,39.07238,42.11382,3.010205,86,1
1,98.55349,40.00268,42.65245,1.935572,87,1
1,101.07596,39.91764,40.5797,1.961955,88,1
