Phase,Phi1,Phi,Phi2,KAM,Y,X
1,84.24723,123.64915,12.38485,0,0,0
1,75.93363,127.30629,43.91131,0,1,0
1,76.1523,127.36143,44.31882,0.1649549,2,0
1,76.66126,127.02829,44.36964,0.2921189,3,0
1,76.97091,127.48046,44.39937,0.2692949,4,0
1,76.49178,127.11222,43.74276,0.3221191,5,0
1,76.94923,127.73164,44.30075,0.385376,6,0
1,76.16905,127.10561,42.80564,0.6742275,7,0
1,76.87403,127.04924,43.77556,0.392563,8,0
1,76.4535,127.2956,43.12477,0.2873782,9,0
1,76.50574,126.13518,42.89063,0.5955571,10,0
1,77.22848,127.7618,44.14678,0.9558422,11,0
1,76.61444,127.46968,43.85685,0.2868415,12,0
1,93.38763,87.58409,18.05915,0,13,0
1,93.21362,87.77065,18.28406,0.1677031,14,0
1,92.54772,88.15451,18.69652,0.4305092,15,0
1,104.85715,69.5423,1.21925,0,16,0
1,104.36494,69.64033,0.89273,0.342996,17,0
1,104.59893,70.11504,0.8188,0.2615663,18,0
1,104.26764,69.51128,0.52561,0.3960042,19,0
1,104.46597,69.63441,0.5136,0.1150856,20,0
1,104.01881,69.63927,0.36715,0.2583619,21,0
1,104.50004,70.2018,0.5062,0.3915665,22,0
1,104.18034,70.26502,0.59564,0.1539978,23,0
1,103.5802,70.11133,0.41569,0.3497789,24,0
1,103.74205,70.15189,0.1343,0.1378994,25,0
1,104.18433,70.07277,0.35285,0.2808033,26,0
1,104.12755,70.11435,359.8533,0.2616409,27,0
1,103.74642,69.88673,0.05278,0.2149746,28,0
1,103.71549,70.37208,359.86835,0.2619234,29,0
1,102.83099,70.43408,0.19016,0.4179743,30,0
1,85.10549,159.63923,38.65439,0,31,0
1,85.63242,159.82293,38.65284,0.2797067,32,0
1,85.76842,159.56083,38.88994,0.1439859,33,0
1,85.37208,158.91297,38.61042,0.334585,34,0
1,113.14379,151.56406,57.17717,0,35,0
1,113.93777,151.60287,57.53072,0.2564798,36,0
1,114.338,151.85091,58.09496,0.1886139,37,0
1,114.51882,151.8217,58.04436,0.1142858,38,0
1,114.04643,151.77167,57.53958,0.1226503,39,0
1,113.8122,151.62096,56.76389,0.2997238,40,0
1,91.61447,46.35138,7.75575,0,41,0
1,91.53715,46.4517,6.92693,0.4447967,42,0
1,90.88388,46.40976,7.71554,0.2916644,43,0
1,90.80511,46.30654,7.78948,0.05976429,44,0
1,91.13956,46.56789,7.19556,0.2545188,45,0
1,90.55823,46.49751,7.54614,0.2152884,46,0
1,90.65002,46.38729,7.46095,0.06529596,47,0
1,90.96459,46.33914,7.43861,0.151718,48,0
1,91.38026,46.47519,7.35531,0.1939556,49,0
1,91.47027,46.44237,7.13073,0.08911216,50,0
1,86.69845,144.01821,5.50871,0,51,0
1,86.43505,143.71944,5.76176,0.2873743,52,0
1,86.15344,143.55128,5.574,0.1200771,53,0
1,85.40508,143.53427,5.02854,0.2242921,54,0
1,86.10886,144.077,5.84289,0.3633067,55,0
1,85.96201,144.07512,5.72249,0.04309354,56,0
1,85.02186,144.06217,4.80197,0.2871823,57,0
1,85.80937,144.0481,5.24507,0.2508531,58,0
1,86.15698,144.44086,5.27282,0.2550479,59,0
1,86.46009,143.7697,5.82324,0.3791313,60,0
1,86.22594,144.19435,5.72378,0.2276909,61,0
1,86.71756,144.04826,5.83451,0.2162627,62,0
1,86.8885,144.01896,6.08594,0.07701346,63,0
1,86.62457,143.63296,5.7592,0.2157481,64,0
1,86.72434,143.61263,5.87887,0.03695614,65,0
1,85.85333,143.59679,4.86235,0.3028299,66,0
1,86.88728,143.72739,5.88944,0.3279154,67,0
1,86.78377,143.48404,5.98475,0.1540281,68,0
1,86.20683,143.59831,5.65941,0.1935403,69,0
1,86.87848,144.04383,6.08132,0.3041928,70,0
1,85.79474,143.8016,5.35997,0.3499412,71,0
1,89.68653,101.16368,8.8752,0,72,0
1,89.65935,100.67383,9.45207,0.3805963,73,0
1,89.72234,101.07648,9.79338,0.2619526,74,0
1,89.80434,100.48199,9.76801,0.3006521,75,0
1,89.48138,100.47016,9.38353,0.2275476,76,0
1,89.10228,100.61594,9.6439,0.2592691,77,0
1,89.5013,100.76116,10.30748,0.3613952,78,0
1,89.74898,100.55447,10.55941,0.1900382,79,0
1,89.65822,100.70971,10.26718,0.1642779,80,0
1,89.68831,100.66864,9.7446,0.2652898,81,0
1,89.57013,100.22349,10.0227,0.2744912,82,0
1,89.98131,100.43161,10.38354,0.2689729,83,0
1,14.99616,42.1375,42.3566,0,84,0
1,106.62277,39.3945,38.19686,0,85,0
1,106.03103,39.12457,37.09008,0.8158092,86,0
1,106.8818,39.32522,38.31035,0.9825466,87,0
1,107.03818,39.30861,37.95841,0.1259325,88,0
1,107.51512,39.26583,38.13439,0.3123316,89,0
1,106.74541,39.62014,37.89399,0.5151663,90,0
1,108.60775,39.58289,35.97656,0.6409693,91,0
1,108.12424,38.79683,37.56246,0.737913,92,0
1,107.55983,39.22199,37.49598,0.3748486,93,0
1,107.88881,39.19921,37.26278,0.1051678,94,0
1,107.90036,39.63363,37.12897,0.2260358,95,0
1,107.97815,39.16971,37.37746,0.2796839,96,0
1,107.76511,39.24214,37.45661,0.08769992,97,0
1,37.06714,159.48129,7.11444,0,98,0
1,35.43558,159.55632,5.7979,0.3067628,99,0
1,35.7042,159.61361,6.05164,0.05492203,100,0
1,36.27081,159.91604,6.48368,0.1869457,101,0
1,36.55269,159.50575,6.86502,0.2188481,102,0
1,35.77984,159.6023,5.92109,0.180627,103,0
1,35.47553,159.81193,5.61106,0.1179933,104,0
1,36.07122,159.58143,6.18911,0.1551002,105,0
1,35.70662,159.6973,6.00189,0.1155584,106,0
1,103.93054,92.22161,40.68499,0,107,0
1,103.50456,92.11322,40.21985,0.3140748,108,0
1,103.92407,91.93371,40.25624,0.2282866,109,0
1,103.58984,92.27287,39.60319,0.3991196,110,0
1,103.30555,91.91114,40.17302,0.3702027,111,0
1,103.68721,92.17903,40.44541,0.2665557,112,0
1,103.55997,92.08319,40.33867,0.09455054,113,0
1,103.56729,92.38641,40.19248,0.1684159,114,0
1,103.4627,92.11339,40.3746,0.1733126,115,0
1,103.50976,92.14891,40.17699,0.1039442,116,0
1,103.28236,92.02264,40.32347,0.1512749,117,0
1,103.4032,92.27709,40.33938,0.1409435,118,0
1,103.1189,92.2297,40.12843,0.1752534,119,0
1,103.33732,92.38556,40.52607,0.2361807,120,0
1,103.65903,92.59549,40.38282,0.2074191,121,0
1,85.42054,123.49103,12.73036,0.5178574,0,1
1,85.02297,123.29537,11.96387,0.5980255,1,1
1,76.26492,126.97363,43.13871,0.7904668,2,1
1,76.51116,127.59083,43.59208,0.6561022,3,1
1,76.6488,127.39953,44.07105,0.3058635,4,1
1,76.57319,127.25658,44.47782,0.42117,5,1
1,76.48369,128.36039,43.74966,0.8293588,6,1
