Phase,Phi1,Phi,Phi2,KAM,Y,X
1,81.54811,123.6887,12.14845,0,0,0
1,77.09494,128.17199,45.00392,0,1,0
1,79.21811,128.77583,46.05413,0.8945276,2,0
1,81.1064,129.05571,46.00809,0.9689311,3,0
1,82.58433,130.1653,46.19592,0.8798676,4,0
1,82.25865,130.01054,45.58566,0.2482217,5,0
1,83.33227,131.07094,46.21012,0.6699657,6,0
1,82.2254,130.36505,44.57838,0.7123022,7,0
1,83.03093,130.26414,45.52778,0.3777639,8,0
1,81.99649,130.37458,44.76168,0.4011261,9,0
1,81.76963,128.97515,44.29367,0.7234125,10,0
1,82.47484,130.55236,45.50729,0.9168932,11,0
1,82.22044,129.82851,44.89933,0.4355069,12,0
1,96.7206,85.6917,16.82402,0,13,0
1,95.18431,85.5358,18.03848,0.945238,14,0
1,95.39865,87.3803,18.59395,0.971001,15,0
1,106.55102,69.80452,1.25508,0,16,0
1,104.57588,70.33062,0.67403,1.150872,17,0
1,104.14045,70.98674,359.99242,0.5659587,18,0
1,103.21713,69.87383,359.3673,0.8468292,19,0
1,102.82099,70.52757,359.50149,0.3762631,20,0
1,102.5442,70.07691,359.31568,0.2953387,21,0
1,102.1054,71.36405,359.34146,0.6786836,22,0
1,100.10523,71.87753,359.02023,1.092322,23,0
1,98.21915,72.26833,358.45534,1.082243,24,0
1,97.90927,72.02015,358.07646,0.3054471,25,0
1,100.72539,70.76181,358.4109,1.598951,26,0
1,98.91605,72.08975,357.61281,1.283911,27,0
1,98.13042,72.03283,357.74005,0.3791726,28,0
1,96.83037,72.86534,357.28229,0.8590191,29,0
1,95.4133,73.19408,357.17475,0.7444253,30,0
1,84.63154,158.93629,38.54155,0,31,0
1,84.28326,158.387,35.94914,1.168501,32,0
1,85.30687,157.46139,36.02089,0.6658692,33,0
1,84.34769,156.75745,35.41214,0.4213928,34,0
1,105.73519,150.59851,49.62364,0,35,0
1,107.13702,151.16798,50.40633,0.4962081,36,0
1,111.1756,152.62475,54.66415,1.247068,37,0
1,112.99258,151.03631,54.50346,1.261443,38,0
1,111.49464,152.08131,54.21094,0.8140599,39,0
1,112.40879,152.70139,54.79217,0.3925275,40,0
1,95.85058,45.29859,6.09624,0,41,0
1,95.71584,45.29526,5.04301,0.5759984,42,0
1,95.17273,45.10405,5.74747,0.2686089,43,0
1,95.20203,44.85991,5.71634,0.122618,44,0
1,95.12602,45.35582,5.25443,0.3586831,45,0
1,94.81039,45.26668,5.58796,0.1329893,46,0
1,95.52334,45.16205,5.4922,0.3287192,47,0
1,97.18646,45.09745,5.49666,0.8337625,48,0
1,98.06227,45.33901,5.53704,0.4681991,49,0
1,99.53211,45.32595,5.33516,0.6678628,50,0
1,81.49733,145.00604,3.08265,0,51,0
1,80.3884,144.64277,3.28484,0.6650404,52,0
1,79.81697,144.67347,3.70591,0.4736323,53,0
1,79.23743,144.66164,3.06954,0.1865664,54,0
1,79.80851,145.13643,4.07489,0.3945984,55,0
1,79.77149,145.17666,3.61614,0.2153893,56,0
1,78.98093,144.87592,2.96366,0.2719434,57,0
1,79.2042,145.32593,2.85812,0.2748372,58,0
1,80.77405,145.42346,3.31028,0.6144471,59,0
1,80.92539,144.9282,3.84262,0.323759,60,0
1,80.89631,145.28368,3.86518,0.17943,61,0
1,81.69687,145.01713,3.74588,0.4698193,62,0
1,82.01817,144.83513,4.06209,0.132337,63,0
1,81.87852,144.14245,3.87854,0.3504506,64,0
1,82.22431,144.19561,4.24002,0.1122308,65,0
1,81.31438,143.85482,3.47119,0.3173715,66,0
1,82.36001,144.29341,4.48413,0.3861261,67,0
1,82.81272,143.7716,5.27286,0.3610177,68,0
1,82.28103,144.19526,4.6603,0.2786304,69,0
1,83.08373,144.60568,5.39904,0.3139159,70,0
1,79.73214,145.17669,2.88529,1.011551,71,0
1,88.79342,103.04761,8.54981,0,72,0
1,90.05478,103.347,10.31856,0.9734334,73,0
1,89.55396,103.19891,10.78016,0.3846987,74,0
1,88.91287,101.7807,10.91725,0.7872596,75,0
1,86.90835,100.19512,9.78788,1.317593,76,0
1,88.12226,103.0331,10.89795,1.598182,77,0
1,89.40873,103.8438,12.55247,1.007493,78,0
1,91.05433,104.58533,13.56656,0.9309353,79,0
1,89.95155,103.86061,13.27536,0.6458144,80,0
1,91.16003,104.48761,13.58179,0.6644666,81,0
1,89.15394,102.23289,13.26227,1.492773,82,0
1,87.61005,101.54202,14.06309,1.001438,83,0
1,23.74075,49.78429,36.82355,0,84,0
1,94.14592,38.07353,44.43084,0,85,0
1,97.00123,39.23917,42.25856,1.065613,86,0
1,98.18043,39.42139,44.11225,1.435391,87,0
1,100.60257,39.04013,42.18451,0.7896798,88,0
1,102.22774,39.36856,41.81599,0.6994019,89,0
1,102.62032,39.76471,40.34041,0.6315152,90,0
1,103.08913,39.48044,38.16158,0.9319748,91,0
1,103.48951,38.14177,39.13052,0.9348446,92,0
1,103.96016,38.60358,39.14898,0.3349399,93,0
1,104.97884,38.22642,38.91141,0.4629169,94,0
1,104.78793,39.47805,39.16043,0.6306705,95,0
1,105.7403,37.91704,38.80299,0.8573325,96,0
1,106.71566,37.89241,38.37881,0.3460376,97,0
1,41.88421,158.81246,10.33335,0,98,0
1,38.01029,159.11141,7.75962,0.8815722,99,0
1,38.23341,159.17944,7.47248,0.2532798,100,0
1,39.89613,159.68803,8.97051,0.3883337,101,0
