Phase,Phi1,Phi,Phi2,KAM,Y,X
1,77.84172,123.47477,11.69442,0,0,0
1,76.73459,129.00576,45.15375,0,1,0
1,81.38983,129.89249,46.82668,1.959466,2,0
1,83.90763,130.7466,46.85858,1.319638,3,0
1,86.0208,132.31659,47.35143,1.203309,4,0
1,85.49117,132.13603,46.70004,0.2615796,5,0
1,87.3196,133.45057,47.53567,0.9608877,6,0
1,85.90787,132.54395,45.68168,0.8188627,7,0
1,86.46308,132.32485,46.58882,0.3533725,8,0
1,85.71109,132.45062,45.79999,0.3177124,9,0
1,85.75787,131.14235,45.38828,0.69082,10,0
1,85.7599,132.32934,46.351,0.763733,11,0
1,85.95805,131.61597,45.72944,0.5242229,12,0
1,98.40358,85.33989,15.97385,0,13,0
1,96.85088,84.30322,17.15703,1.066963,14,0
1,96.99906,86.73641,17.66671,1.246387,15,0
1,107.81208,69.81044,1.36551,0,16,0
1,105.37128,70.8399,0.64117,1.477516,17,0
1,104.59224,71.86645,359.70623,0.866102,18,0
1,103.00215,70.52225,358.53504,1.314091,19,0
1,102.39429,71.3515,358.75031,0.5044824,20,0
1,102.74811,70.53441,358.77853,0.4472547,21,0
1,101.55649,72.02008,358.52234,0.9859908,22,0
1,98.67375,72.47606,358.11517,1.532936,23,0
1,95.91637,73.62292,357.32856,1.643287,24,0
1,95.24986,73.39317,356.99004,0.430025,25,0
1,99.04115,71.3962,357.80945,2.286415,26,0
1,96.35418,73.41558,356.37699,1.97961,27,0
1,95.78452,73.28466,356.6139,0.283038,28,0
1,94.3153,73.78811,356.09002,0.8835672,29,0
1,91.77854,74.12935,355.43755,1.404633,30,0
1,83.7604,158.29838,37.28892,0,31,0
1,84.02018,157.11602,34.16287,1.784668,32,0
1,85.05418,155.90914,33.94316,0.8646749,33,0
1,82.86746,155.15554,32.59471,0.6708275,34,0
1,102.80265,150.16916,46.36884,0,35,0
1,103.99267,150.46027,46.64371,0.5020198,36,0
1,108.97373,152.70328,51.87049,1.684677,37,0
1,111.68881,150.69085,52.45611,1.496966,38,0
1,110.33991,152.29598,53.00284,1.223817,39,0
