Phase,Phi1,Phi,Phi2,KAM,Y,X
1,76.7949,123.4839,11.63367,0,0,0
1,76.5364,129.21744,45.18211,0,1,0
1,81.85699,130.13062,46.96049,2.24842,2,0
1,84.48498,131.10076,47.02056,1.382515,3,0
1,86.65193,132.7316,47.57561,1.230448,4,0
1,85.9856,132.51269,46.88998,0.2929462,5,0
1,87.97027,133.85858,47.75093,1.018882,6,0
1,86.61447,132.95968,45.88432,0.8142375,7,0
1,87.134,132.70301,46.77472,0.3534213,8,0
1,86.43375,132.73665,45.91602,0.3213166,9,0
1,86.44746,131.53209,45.56918,0.628057,10,0
1,86.37031,132.63136,46.48117,0.7314965,11,0
1,86.51545,131.93505,45.86555,0.5012814,12,0
1,98.74093,85.2549,15.75693,0,13,0
1,97.19042,84.13014,16.82881,1.061887,14,0
1,97.26475,86.61128,17.40327,1.274598,15,0
1,107.99108,69.89379,1.36249,0,16,0
1,105.4697,70.99424,0.61528,1.531963,17,0
1,104.68269,72.05004,359.65794,0.8843297,18,0
1,102.97994,70.70902,358.36669,1.393623,19,0
1,102.36084,71.54669,358.60853,0.5115154,20,0
1,102.81159,70.65629,358.69915,0.5076117,21,0
1,101.55809,72.16566,358.39583,1.022714,22,0
1,98.53092,72.55512,357.97005,1.602953,23,0
1,95.56796,73.87947,357.13421,1.779131,24,0
1,94.81133,73.64613,356.81441,0.4649056,25,0
1,98.78662,71.50335,357.73463,2.420231,26,0
1,95.90971,73.64256,356.15777,2.124555,27,0
1,95.36665,73.50985,356.40066,0.2724574,28,0
1,93.96299,73.8826,355.88455,0.8340157,29,0
1,91.21878,74.21455,355.14421,1.525254,30,0
1,83.58906,158.14735,36.99283,0,31,0
1,84.02296,156.84719,33.82751,1.899688,32,0
1,84.94107,155.60463,33.48853,0.8762662,33,0
1,82.5756,154.81562,32.03279,0.7219032,34,0
1,102.3891,150.14598,45.89979,0,35,0
1,103.4779,150.28537,45.98883,0.51102,36,0
1,108.50114,152.71272,51.28175,1.760221,37,0
1,111.45277,150.66512,52.04129,1.543778,38,0
1,110.06452,152.29189,52.67411,1.276489,39,0
1,110.89573,152.96475,53.29389,0.3914039,40,0
1,98.11736,44.6921,5.12507,0,41,0
1,97.89501,44.49798,3.67619,0.8132007,42,0
1,97.23462,44.03701,4.14198,0.3259679,43,0
1,97.2845,43.34017,3.92141,0.3608351,44,0
1,97.54962,44.35215,3.53682,0.5232635,45,0
1,97.10973,44.23258,3.84705,0.1648343,46,0
1,99.75695,44.07571,3.6366,1.252721,47,0
1,101.93675,43.31403,3.76531,1.199367,48,0
1,104.63188,44.28001,3.81982,1.450146,49,0
1,108.13576,44.09388,3.62558,1.686229,50,0
1,74.31935,146.15857,0.75888,0,51,0
1,73.99512,145.55186,1.08044,0.4327834,52,0
1,73.76721,145.63807,1.91247,0.5158842,53,0
1,75.09475,145.32915,1.88785,0.6914211,54,0
1,75.40413,145.92959,2.69647,0.4174735,55,0
1,75.63876,145.91034,2.33004,0.2881495,56,0
1,75.19334,145.4734,1.9119,0.2532135,57,0
1,75.14776,146.03445,1.61377,0.3095483,58,0
1,77.95899,145.96602,2.4534,1.083852,59,0
1,77.5983,145.48267,2.96297,0.4814453,60,0
1,78.03523,145.85031,2.92394,0.2982319,61,0
1,78.68712,145.43638,2.66482,0.4853674,62,0
1,79.13001,145.14439,2.80507,0.2230268,63,0
1,78.50037,144.36862,2.76669,0.4899657,64,0
1,79.1955,144.50602,3.18053,0.2265623,65,0
1,78.21728,143.96621,2.89442,0.4679625,66,0
1,79.28577,144.73536,3.65446,0.4977595,67,0
1,80.13815,143.93965,5.15576,0.6193033,68,0
1,79.49137,144.64138,4.08929,0.4816359,69,0
1,80.21184,144.97109,5.04561,0.3225722,70,0
1,75.79354,145.99248,1.40958,1.351712,71,0
1,88.86928,104.14966,8.65791,0,72,0
1,90.20515,104.90305,11.04274,1.268959,73,0
1,89.20497,104.65238,11.60837,0.6464754,74,0
1,87.73193,102.53185,11.81441,1.308752,75,0
1,84.99646,100.44585,10.22707,1.776411,76,0
1,88.38587,105.47332,12.01436,3.050807,77,0
1,89.32318,106.20032,14.02387,1.050836,78,0
1,91.8076,106.98226,15.40895,1.297755,79,0
1,90.2358,105.82299,15.21759,0.959315,80,0
1,91.34762,106.44948,15.85559,0.6405768,81,0
1,88.28946,103.65276,15.48288,2.044438,82,0
1,86.45423,103.42446,16.68642,1.214774,83,0
1,27.81365,55.10841,33.08294,0,84,0
1,87.77571,38.10731,46.54692,0,85,0
1,92.5104,39.48047,44.55573,1.841821,86,0
1,92.43729,40.05257,47.37825,1.412619,87,0
1,95.82631,38.91026,45.23445,1.241942,88,0
1,97.85515,39.25618,44.41433,0.7624419,89,0
1,99.70673,39.61012,42.4538,0.6688859,90,0
1,100.05653,40.03986,39.45478,1.386519,91,0
1,99.85029,38.46358,40.23301,0.8491468,92,0
1,101.54653,38.22402,40.24016,0.8593177,93,0
1,102.40594,37.69205,40.81481,0.72982,94,0
1,102.76494,39.87609,40.48272,1.0981,95,0
1,103.32869,37.58325,39.98985,1.160199,96,0
1,106.01302,37.06943,39.08678,1.052351,97,0
1,45.38944,158.00809,12.39882,0,98,0
1,40.13251,158.71763,8.81948,1.221421,99,0
1,40.75232,159.14952,8.35655,0.5745636,100,0
1,43.19094,159.53913,10.75186,0.4755179,101,0
1,41.29457,159.97354,8.93339,0.3939314,102,0
1,38.88953,160.6765,5.39019,0.8342713,103,0
1,36.47093,160.54828,4.38367,0.7560547,104,0
1,36.75534,160.72391,6.1249,0.7431669,105,0
1,40.01219,160.103,8.96445,0.6382426,106,0
1,102.04606,91.4712,40.30758,0,107,0
1,99.60078,90.52158,39.57971,1.355438,108,0
1,100.60349,90.15564,39.40002,0.5417037,109,0
1,99.45163,90.14838,38.63872,0.6895193,110,0
1,99.86195,90.07403,39.28863,0.3857584,111,0
1,99.69361,90.31138,39.51873,0.185661,112,0
1,99.84388,90.2525,39.38903,0.103756,113,0
1,98.79197,90.55765,39.57034,0.5556967,114,0
1,98.71632,90.95078,39.88044,0.2535065,115,0
1,98.34541,90.81241,39.89404,0.1981512,116,0
1,98.10827,91.37662,40.15341,0.3332411,117,0
1,96.69877,92.0094,40.46878,0.7925889,118,0
1,95.41175,93.08144,40.89651,0.8714199,119,0
1,95.74282,92.88241,40.94335,0.1935192,120,0
1,96.26388,92.40192,40.54311,0.4128551,121,0
1,80.63925,123.35279,11.07859,2.088945,0,1
1,79.06969,124.303,10.84231,1.548889,1,1
1,82.41116,131.31311,45.36955,2.815225,2,1
1,83.78784,132.01356,46.35083,1.337366,3,1
1,85.25708,132.44317,46.99155,0.9760534,4,1
1,86.02525,132.34499,47.91418,0.6717695,5,1
1,86.46569,134.07483,46.82139,1.251139,6,1
1,86.81723,133.14421,47.0235,0.7739741,7,1
1,86.00793,132.66487,46.67242,0.790457,8,1
1,86.55416,132.47545,46.73197,0.4808583,9,1
1,84.14054,130.68753,45.6904,2.02621,10,1
1,85.67246,131.86415,46.16885,0.9919181,11,1
1,84.56606,132.42563,45.68628,1.084167,12,1
1,86.81901,131.80379,47.0708,0.9412509,13,1
1,108.09145,69.5058,0.66086,0,14,1
1,106.33804,70.00437,0.64086,0.9148328,15,1
1,104.67707,72.17471,359.23216,2.780975,16,1
1,102.48457,72.59535,358.47453,3.633613,17,1
1,103.97192,72.1742,358.76076,1.483476,18,1
1,103.00549,71.38256,358.59319,1.090394,19,1
1,102.2684,70.48321,358.63441,0.7327117,20,1
1,100.17222,71.82939,358.0522,2.071517,21,1
1,98.23943,71.38136,357.19442,2.911019,22,1
1,95.90363,72.82902,357.24283,2.953164,23,1
1,96.56281,73.16809,357.23931,1.091179,24,1
1,98.27982,72.70615,358.3314,2.519278,25,1
1,95.81398,72.57553,356.62117,2.120028,26,1
1,95.42585,73.5125,356.45103,1.494387,27,1
1,93.02848,73.67975,355.8469,2.044468,28,1
1,92.52287,73.91368,355.88054,1.262229,29,1
1,83.1077,158.60235,35.3791,0,30,1
1,85.03795,155.80796,33.89384,3.13521,31,1
1,84.24428,156.07263,33.65422,1.491991,32,1
1,84.79253,155.82915,33.49941,0.6229339,33,1
1,103.648,150.39654,47.86383,0,34,1
1,105.34347,149.9024,48.03852,1.05912,35,1
1,104.50986,150.23647,47.3104,0.5857293,36,1
1,110.23943,151.06248,51.46052,2.189692,37,1
1,110.69074,152.5061,52.83758,1.309509,38,1
1,107.50917,151.69277,49.21763,1.48241,39,1
1,109.86522,152.24659,53.07575,0.9653047,40,1
1,98.67241,44.6298,4.61457,0.2058425,41,1
1,97.36785,43.70516,3.93203,1.253813,42,1
1,97.63568,43.24115,3.88669,0.6585484,43,1
1,97.30615,44.09528,3.6464,0.5636218,44,1
1,97.70527,44.05338,3.6168,0.3805039,45,1
1,97.11289,44.24275,3.33055,0.4924724,46,1
1,98.17586,44.42977,4.22762,1.120881,47,1
1,100.24214,44.27024,3.94666,1.121152,48,1
1,102.57316,44.50032,4.42242,1.521209,49,1
1,103.0238,46.46876,7.42608,2.928279,50,1
1,74.67871,146.80355,1.80636,0.5036513,51,1
1,73.48391,145.80365,1.32395,0.8649504,52,1
1,75.25704,145.59822,2.21215,0.7867486,53,1
1,76.07596,145.87473,2.53111,0.8217854,54,1
1,74.20421,145.62255,1.82988,0.754842,55,1
1,75.96194,145.7515,2.43359,0.6028256,56,1
1,75.89575,145.69667,1.79469,0.5528604,57,1
1,76.54017,145.55296,1.89048,0.8053786,58,1
1,77.66684,145.67514,2.88661,0.7684835,59,1
1,78.53269,145.67973,2.91116,0.5685822,60,1
1,77.809,145.7172,2.51638,0.3545663,61,1
1,78.69442,145.26667,3.49926,0.5647867,62,1
1,78.82538,145.24208,2.27882,0.5532234,63,1
1,78.54366,144.86635,2.42456,0.4071764,64,1
1,77.8062,144.35109,2.27124,0.5169851,65,1
1,77.84697,144.34827,2.34094,0.3478287,66,1
1,79.20106,144.10054,3.16742,0.6064227,67,1
1,79.73008,144.53155,4.57925,0.6127321,68,1
1,80.02124,144.24991,4.96195,0.3395579,69,1
1,78.23181,144.6109,4.60171,1.233452,70,1
1,87.25565,101.06948,7.62445,0,71,1
1,89.80629,100.73841,7.74332,2.085483,72,1
