Phase,Phi1,Phi,Phi2,KAM,Y,X
1,82.72475,123.79231,12.19392,0,0,0
1,76.66519,127.76607,44.66054,0,1,0
1,78.0319,128.16869,45.42008,0.5765418,2,0
1,79.26424,128.13523,45.33993,0.6419156,3,0
1,80.03272,128.83839,45.44769,0.4983843,4,0
1,79.78595,128.5973,44.78985,0.2952517,5,0
1,80.86421,129.6207,45.42392,0.6613308,6,0
1,79.85714,128.96602,43.86747,0.6855525,7,0
1,80.58987,128.87123,44.79579,0.3718249,8,0
1,79.45761,128.90145,43.99141,0.4434003,9,0
1,79.34934,127.6841,43.64946,0.6254373,10,0
1,80.47916,129.43305,44.97516,1.027766,11,0
1,79.48049,128.67931,44.35274,0.5407221,12,0
1,95.54928,86.18031,17.22065,0,13,0
1,94.35765,86.47176,18.16336,0.7499368,14,0
1,94.13605,87.79976,18.71045,0.724543,15,0
1,105.83327,69.85119,1.17537,0,16,0
1,104.27714,70.08317,0.70452,0.8942907,17,0
1,104.11402,70.56765,0.32299,0.3349618,18,0
1,103.42055,69.75847,359.85827,0.626569,19,0
1,103.33541,70.18262,359.95915,0.2187698,20,0
1,102.82808,69.94341,359.74748,0.3288821,21,0
1,102.84834,70.96962,359.90033,0.519363,22,0
1,101.55721,71.22894,359.67083,0.7033565,23,0
1,100.20098,71.33864,359.25242,0.7730954,24,0
1,100.2505,71.13744,358.95086,0.1762471,25,0
1,102.12628,70.39328,359.07734,1.030116,26,0
1,100.76841,71.24881,358.48287,0.9299732,27,0
1,99.95579,71.21523,358.54435,0.3978466,28,0
1,99.10222,71.89539,358.25496,0.5981628,29,0
1,98.24176,72.09616,358.45034,0.4227735,30,0
1,85.06507,159.2817,39.00446,0,31,0
1,84.69557,159.05841,37.09238,0.7940036,32,0
1,85.40897,158.38877,37.20429,0.4530706,33,0
1,84.96754,157.6626,36.89156,0.3754808,34,0
1,108.40744,151.06467,52.4548,0,35,0
1,109.56755,151.47374,53.12184,0.3876137,36,0
1,112.48234,152.40646,56.10877,0.8545379,37,0
1,113.58742,151.3234,55.71646,0.9100434,38,0
1,112.33174,151.82726,55.14217,0.4722288,39,0
1,113.00701,152.29619,55.37507,0.3362448,40,0
1,94.37416,45.73309,6.79286,0,41,0
1,94.15174,45.77902,5.84856,0.5559593,42,0
1,93.59732,45.67861,6.58302,0.2685132,43,0
1,93.43735,45.50777,6.61519,0.1102378,44,0
1,93.5333,45.87464,6.09617,0.2930902,45,0
