Phase,Phi1,Phi,Phi2,KAM,Y,X
1,71.77363,124.01262,11.4477,0,0,0
1,75.73936,130.60626,45.68526,16.31805,1,0
1,83.84796,131.50568,47.6076,0,2,0
1,86.56759,132.91303,47.58688,1.537267,3,0
1,89.95126,134.81807,48.67963,1.669317,4,0
1,88.6533,134.30685,47.79507,0.5284912,5,0
1,90.857,135.61226,48.6116,1.08211,6,0
1,89.2021,134.80804,46.58919,0.8253425,7,0
1,89.85371,134.34238,47.3992,0.3730496,8,0
1,89.4307,133.83489,46.20188,0.5397369,9,0
1,89.2068,132.88984,45.96373,0.4813313,10,0
1,89.09457,133.94519,46.91393,0.7375299,11,0
1,88.80548,133.35311,46.39414,0.352446,12,0
1,100.36334,84.75756,14.2338,0,13,0
1,98.86995,83.44416,14.55514,0.9949527,14,0
1,98.27643,86.26286,15.98729,1.596512,15,0
1,108.41576,70.36185,1.29345,0,16,0
1,105.57855,71.89732,0.3737,1.79866,17,0
1,104.99255,72.98569,359.31883,0.8679885,18,0
1,102.83472,71.74599,357.60273,1.686799,19,0
1,102.29024,72.55367,357.94333,0.4876264,20,0
1,102.94894,71.2864,358.32412,0.7649402,21,0
1,101.95341,72.89894,357.96937,0.99176,22,0
1,98.08557,73.0537,357.37724,2.041793,23,0
1,94.22799,74.83429,356.25519,2.329324,24,0
1,92.54257,74.8487,355.89773,0.9060425,25,0
1,97.60029,72.13305,357.29847,3.12,26,0
1,94.27785,74.43112,355.23774,2.474998,27,0
1,93.64846,74.41537,355.40096,0.3032518,28,0
1,92.66172,74.17001,354.9862,0.5973809,29,0
1,89.06539,74.38588,353.84748,2.030754,30,0
1,82.68881,157.247,35.39179,0,31,0
1,84.34357,155.44393,32.21794,0,32,0
1,83.88987,153.94728,30.91412,0.8769258,33,0
1,81.52725,153.17757,29.64514,0.7770784,34,0
1,101.02227,150.12967,44.20862,0,35,0
1,101.53438,149.33869,43.29156,0.7968899,36,0
1,106.31503,152.8025,48.62931,2.159314,37,0
1,111.07835,150.86389,50.75412,1.810596,38,0
1,108.48255,152.22219,50.87695,1.513154,39,0
1,108.81698,152.94211,50.93084,0.3876294,40,0
1,100.75508,44.50161,4.85734,0,41,0
1,98.79515,44.12971,3.0529,1.753305,42,0
1,98.26707,43.5607,3.33042,0.3421504,43,0
1,98.37026,42.57529,2.5651,0.6024913,44,0
1,99.06758,43.67376,2.30664,0.6116743,45,0
1,98.25941,43.40728,2.35027,0.4107739,46,0
1,102.65614,43.21677,2.05661,2.096117,47,0
1,104.69133,40.76435,2.0751,1.597809,48,0
1,106.67549,43.39886,2.54202,1.765654,49,0
1,114.1345,42.39947,2.27689,0,50,0
1,68.74265,147.12244,358.61348,0,51,0
1,69.73627,146.16733,359.80929,0.5797522,52,0
1,70.5174,145.9941,0.78844,0.2870266,53,0
1,72.94802,145.60004,1.13027,1.096093,54,0
1,72.37451,146.47599,1.63001,0.6747894,55,0
1,72.58044,146.45889,1.39733,0.2101883,56,0
1,72.44696,145.91399,1.20381,0.2780614,57,0
1,72.83632,146.37919,1.10808,0.3313168,58,0
1,75.80661,146.41868,1.76112,1.226723,59,0
1,75.6577,145.77371,2.57716,0.5713571,60,0
1,76.35014,146.16039,2.44733,0.4457721,61,0
1,76.65257,145.66248,2.00535,0.4347748,62,0
1,77.09936,145.24644,1.96379,0.318204,63,0
1,75.94021,144.57606,1.89712,0.6463363,64,0
1,77.02797,144.77242,2.35915,0.392162,65,0
1,76.19384,144.19965,2.53957,0.5703894,66,0
1,77.19338,145.13071,3.01431,0.573817,67,0
1,78.42185,144.11901,5.09467,0.8204648,68,0
1,77.77423,144.90351,3.84601,0.5650422,69,0
1,78.23355,145.24135,4.81296,0.3646306,70,0
1,73.93031,146.39943,0.77786,1.360806,71,0
1,89.1803,104.77874,8.80479,0,72,0
1,90.29073,105.89257,11.50337,1.429202,73,0
1,88.82874,105.55235,12.09202,0.87551,74,0
1,86.80821,103.1947,12.41674,1.586792,75,0
1,83.75455,100.99741,10.64844,1.937423,76,0
1,88.86417,107.45604,12.84116,4.095257,77,0
1,89.4456,107.91711,15.03386,1.070497,78,0
1,92.11882,108.23677,16.50363,1.320022,79,0
1,89.83052,106.72775,16.28731,1.347456,80,0
1,91.12527,107.75276,17.24715,0.8531644,81,0
1,87.59059,104.85528,17.01797,2.262981,82,0
1,85.82511,105.21339,18.50998,1.307445,83,0
1,29.67703,58.80671,30.46227,0,84,0
1,85.87632,38.22602,46.43835,0,85,0
1,90.16884,40.25089,45.38818,2.039804,86,0
1,88.71275,40.4429,49.27855,1.471144,87,0
1,92.24405,38.90507,47.37156,1.423327,88,0
1,94.6805,39.23164,46.04027,0.8334391,89,0
1,97.34992,39.4417,43.96445,0.8525056,90,0
1,98.27169,40.35739,40.25436,1.597283,91,0
1,97.48162,38.99332,40.79435,0.7279586,92,0
1,99.76868,37.86676,40.94248,1.32781,93,0
1,100.17881,37.33675,42.67863,1.0714,94,0
1,101.32881,40.16164,41.50674,1.463981,95,0
1,101.03894,37.65212,41.08595,1.298903,96,0
1,105.10735,36.15462,39.90238,1.767263,97,0
1,48.84547,157.54806,14.59091,0,98,0
1,42.19364,158.69484,9.53404,1.474538,99,0
1,44.19595,159.64772,10.30131,0.8114736,100,0
1,47.06483,159.99368,13.00336,0.5241488,101,0
1,46.18131,160.59393,12.0907,0.3374819,102,0
1,42.78216,161.07769,7.30059,0.9965478,103,0
1,38.6853,160.75297,4.6197,0.9106787,104,0
1,37.12569,161.03493,4.57495,0.7716842,105,0
1,42.86962,160.3915,10.46818,1.028548,106,0
1,100.66893,90.99537,40.18344,0,107,0
1,97.95652,90.17526,39.64183,1.439868,108,0
1,99.71011,89.412,39.18034,0.9829479,109,0
1,97.90215,89.45203,38.54708,0.9609883,110,0
1,98.89958,89.19818,38.99068,0.5626929,111,0
1,97.36023,89.48381,39.29922,0.7961559,112,0
1,97.40616,89.43594,39.16956,0.07263032,113,0
1,96.13032,89.69989,39.54676,0.6768422,114,0
1,96.07783,90.27679,39.63719,0.2931479,115,0
1,95.56345,90.14084,39.83552,0.2842272,116,0
1,94.71562,90.95357,40.12839,0.6061848,117,0
1,92.97761,91.4698,40.66527,0.9506367,118,0
1,92.06268,92.98466,41.0813,0.9130266,119,0
1,92.09617,92.74783,41.19027,0.1310682,120,0
1,92.0564,92.34855,40.79469,0.2811119,121,0
1,76.99366,123.08786,10.50835,0,0,1
1,76.05576,124.56834,10.40331,0.8620822,1,1
1,83.30213,132.85066,45.66064,1.057148,2,1
1,85.98991,133.97784,47.1626,1.729216,3,1
1,88.35674,134.25637,47.91033,1.333585,4,1
1,89.36628,134.38656,48.98185,0.6530503,5,1
1,88.91926,135.69003,47.49069,1.161376,6,1
1,89.36822,135.14248,47.7964,0.7375239,7,1
1,88.93999,134.35749,47.45331,0.7378389,8,1
1,89.67036,134.19304,47.55275,0.5696862,9,1
1,87.23371,132.39622,46.41926,1.923888,10,1
1,88.95374,133.64574,47.0498,0.9318576,11,1
1,86.90732,133.94385,46.34053,1.363477,12,1
1,90.09946,133.56787,47.97279,1.196685,13,1
1,108.74801,70.18047,0.6524,0,14,1
1,106.56249,70.44601,0.55115,1.118741,15,1
1,104.24241,73.09046,358.66036,3.514329,16,1
1,102.48893,73.50722,357.83553,3.837341,17,1
1,103.94387,73.13843,358.25173,1.664637,18,1
1,103.58368,72.35038,358.24603,1.063442,19,1
1,102.88573,71.33189,358.32011,0.8816144,20,1
1,100.03125,72.40029,357.32586,2.38367,21,1
1,97.56697,71.56164,356.40086,3.635086,22,1
1,94.96861,73.13546,356.227,3.597784,23,1
1,94.70772,74.34968,356.37726,1.488772,24,1
1,96.93896,73.84679,357.68038,2.928273,25,1
1,94.00962,73.15841,355.74598,2.663398,26,1
1,93.93856,74.2671,355.53585,1.63349,27,1
1,91.73753,73.59936,354.97168,1.872371,28,1
1,90.42413,74.29151,354.50105,1.914367,29,1
1,82.7688,157.58075,33.85038,0,30,1
1,85.25778,154.26188,32.09063,2.66002,31,1
1,83.97952,154.93567,32.23905,0.7342317,32,1
1,84.63108,154.57517,31.92779,0.7076684,33,1
1,101.53966,149.90655,45.30047,0,34,1
1,103.64822,149.45456,45.59511,1.213579,35,1
1,102.77747,149.78541,44.88519,0.6873896,36,1
1,109.10703,151.02488,49.48131,2.589438,37,1
1,110.23151,153.05696,52.11454,1.882898,38,1
1,104.36035,151.6765,45.46176,2.361389,39,1
1,107.30348,151.50443,50.49038,1.443224,40,1
1,101.33684,44.07624,3.67635,0.4823067,41,1
1,99.88032,43.05457,2.77367,1.741539,42,1
1,98.85506,42.51919,2.64688,1.009693,43,1
1,98.47224,43.45463,2.49525,0.663404,44,1
1,99.01357,43.20121,2.09185,0.4378453,45,1
1,98.57436,43.455,1.87147,0.4730656,46,1
1,100.2498,43.48165,2.72787,1.660636,47,1
1,103.10493,43.32811,2.63601,1.649905,48,1
1,103.8239,43.78572,3.2443,1.715215,49,1
1,106.50903,46.84406,6.73525,3.937623,50,1
1,68.94493,147.91584,359.37771,0.4984046,51,1
1,69.25298,146.2153,359.42956,0.7553903,52,1
1,72.04369,146.05315,0.94127,1.168224,53,1
1,73.85274,145.70679,1.52753,1.201285,54,1
1,71.0563,146.04916,0.78883,1.204186,55,1
1,72.55958,146.31703,1.43985,0.40247,56,1
1,73.24923,146.17394,0.96734,0.8137333,57,1
1,74.28329,145.93996,1.2655,1.003389,58,1
1,75.25326,146.15546,2.11915,0.7964757,59,1
1,76.93967,145.93899,2.33863,0.9728163,60,1
1,75.97596,146.06357,2.04504,0.4655618,61,1
1,77.04059,145.58847,3.13486,0.5834649,62,1
1,76.28518,145.47259,1.13036,0.6572213,63,1
1,76.42467,144.95764,1.76693,0.5111144,64,1
1,75.26022,144.48112,1.33642,0.6309792,65,1
1,75.76132,144.48546,1.88238,0.4436961,66,1
1,77.44034,144.32878,2.79277,0.7666079,67,1
1,78.08324,144.65776,4.61948,0.7807292,68,1
1,78.32254,144.41855,4.92926,0.3691292,69,1
1,76.49306,144.85123,4.41314,1.190756,70,1
1,87.56794,100.97967,7.39759,0,71,1
1,90.48367,100.51831,7.41949,2.565867,72,1
1,90.43033,100.61995,7.81266,2.847279,73,1
1,88.23886,101.459,8.97881,3.291105,74,1
1,86.71152,102.36702,10.1179,2.190562,75,1
1,85.32599,102.34311,11.52692,1.516639,76,1
1,85.46668,103.53387,11.29311,2.356857,77,1
1,88.95313,106.5689,13.67997,1.961148,78,1
1,89.27375,105.92929,14.72948,1.723037,79,1
1,89.65833,106.80793,16.71997,1.383663,80,1
1,89.69746,104.9286,16.26788,1.732793,81,1
1,87.88987,106.79878,17.36529,2.100021,82,1
1,84.98562,101.08927,13.42459,4.760275,83,1
1,85.35522,102.88633,12.52574,2.802371,84,1
1,82.43932,41.91374,50.92946,2.34199,85,1
1,93.05795,39.02545,43.8267,3.822862,86,1
1,94.16185,40.02254,44.03993,2.104596,87,1
1,97.07547,40.03036,42.14108,2.741655,88,1
1,98.28783,40.38275,42.99442,2.176835,89,1
1,97.01571,40.6042,42.7506,1.473394,90,1
1,96.11659,40.22071,43.13964,1.179882,91,1
1,97.3566,37.50705,43.85749,2.67609,92,1
1,98.69332,38.65414,43.32193,1.730802,93,1
1,101.91117,39.30724,40.12307,1.730979,94,1
1,99.71173,39.42941,43.10097,1.331142,95,1
1,100.81266,37.74407,40.8967,1.326669,96,1
1,105.36761,42.52602,36.50691,0,97,1
1,54.00782,160.03574,18.13952,1.6781,98,1
1,47.99855,157.32091,12.81849,1.969469,99,1
1,41.9226,157.71964,7.8913,1.568472,100,1
1,45.8885,159.02915,10.5715,1.367147,101,1
1,39.16063,159.78709,5.84658,2.053305,102,1
1,36.93738,160.61743,3.07582,1.687669,103,1
1,36.50196,160.62181,4.15303,1.685889,104,1
1,46.84277,160.55875,12.06685,2.564101,105,1
1,101.87648,91.10245,39.95856,0,106,1
1,99.00202,90.20653,39.64104,1.647119,107,1
1,99.06986,90.84112,40.13641,0.94969,108,1
1,98.72893,89.8578,38.75527,1.026646,109,1
1,98.87785,89.89009,39.59584,0.8500713,110,1
1,97.90401,89.047,39.09856,0.7698418,111,1
1,97.65978,89.47515,39.28956,0.5322447,112,1
1,96.7026,89.33269,39.04984,0.6108651,113,1
1,96.43054,89.73425,39.17765,0.4992752,114,1
1,96.38651,89.45844,39.62891,0.441756,115,1
1,94.58389,90.25718,39.95644,1.13035,116,1
1,93.85136,90.63278,40.25686,0.910968,117,1
1,92.918,90.20502,40.30641,1.075268,118,1
1,93.21053,91.33473,40.80917,0.9014356,119,1
1,91.45768,92.86427,41.41097,0.9570665,120,1
1,93.1603,93.02456,41.50567,1.072161,121,1
1,71.31192,123.28099,10.38778,0,0,2
1,77.11301,125.42347,10.8738,1.193767,1,2
1,82.69444,133.27825,45.95663,0.4704675,2,2
1,85.82712,133.04917,46.90072,1.364606,3,2
1,88.24489,135.79618,49.04099,1.917989,4,2
1,88.9852,134.6134,48.23742,0.758166,5,2
1,89.64514,134.55554,47.88037,0.8802481,6,2
1,88.46681,133.35428,46.77801,1.45731,7,2
1,89.2389,134.15427,47.0348,0.7261975,8,2
1,89.6633,133.97629,47.55914,0.3487576,9,2
1,88.80379,133.25658,46.44572,1.023739,10,2
1,88.94962,134.77253,46.45015,1.429106,11,2
1,88.24657,131.61086,45.43732,2.186751,12,2
1,88.70033,131.89718,44.73382,1.960775,13,2
1,113.83636,69.40097,4.62249,3.748595,14,2
1,110.15563,71.24777,2.91096,3.273248,15,2
1,109.35729,72.75817,2.71734,3.452957,16,2
1,106.38839,73.10086,0.54464,3.195463,17,2
1,104.08737,74.07243,359.13753,1.721635,18,2
1,103.4819,72.70504,357.29113,1.204393,19,2
1,98.45935,72.09489,356.09075,4.319493,20,2
1,98.73523,72.20164,356.34846,1.873881,21,2
1,97.02895,74.60814,356.51344,2.502183,22,2
1,95.16249,74.38855,356.5235,1.720224,23,2
1,93.84069,74.76357,356.60884,1.061102,24,2
1,95.19071,74.84296,356.30109,1.169853,25,2
1,94.53245,74.01863,356.99767,1.390703,26,2
1,91.58846,73.45144,355.23772,2.270667,27,2
1,92.41033,74.91881,356.14968,1.411071,28,2
1,83.96782,156.75668,33.83772,0,29,2
1,85.08901,155.49007,33.03379,1.999511,30,2
1,81.75918,154.47132,30.45766,1.985237,31,2
1,83.22586,154.89109,31.37807,0.6950099,32,2
1,105.60686,148.83204,46.93812,0,33,2
1,106.60337,150.11411,50.25391,1.806299,34,2
1,105.35124,150.76717,47.84854,1.387143,35,2
1,105.47169,150.71895,48.95094,1.43402,36,2
1,84.02711,154.35495,30.56819,0,37,2
1,109.83815,150.64906,52.27201,1.560267,38,2
1,107.26735,149.87576,52.37021,3.051957,39,2
1,101.43944,44.64036,4.94115,0,40,2
1,99.99691,44.00309,3.26067,1.542882,41,2
1,102.40728,43.21769,2.34903,1.380273,42,2
1,98.99681,42.59663,2.21492,1.334487,43,2
1,99.58523,43.05678,2.25335,0.6365469,44,2
1,98.82642,42.90128,2.05618,0.4813801,45,2
1,99.02947,42.65788,1.82307,0.4487014,46,2
1,98.73947,43.54122,2.46177,0.8598374,47,2
1,101.98525,43.67958,2.40066,1.520035,48,2
1,101.7221,44.86248,4.69133,1.585103,49,2
1,105.80026,46.78619,7.78986,3.615953,50,2
1,106.47308,44.57953,4.34016,2.351026,51,2
1,71.01904,144.43913,0.70923,1.910563,52,2
1,73.05143,144.52872,1.18521,1.615834,53,2
1,72.72221,145.97702,0.67846,0.7715586,54,2
1,72.19604,145.86825,1.72191,1.000854,55,2
1,73.80293,145.88465,1.65523,1.227538,56,2
1,73.8544,145.79319,2.09117,0.5492417,57,2
1,74.40927,145.95338,1.21744,0.6336055,58,2
1,76.31176,145.74839,2.86199,0.7447038,59,2
1,75.72298,145.93647,2.20941,0.4952653,60,2
1,76.72194,145.55688,3.06853,0.6116717,61,2
1,77.98617,145.37009,3.43792,0.7759889,62,2
1,77.97506,145.36985,3.46811,0.5278678,63,2
1,76.28149,145.68102,1.5285,0.5837471,64,2
1,76.43894,145.37408,1.91077,0.507762,65,2
1,75.62697,144.25625,1.44446,0.4999527,66,2
1,76.06155,144.40852,3.09141,0.985864,67,2
1,77.67366,144.22123,4.56019,0.7818079,68,2
1,80.05382,143.66361,7.57111,1.417207,69,2
1,87.52552,99.19977,7.99166,0,70,2
1,87.73217,101.23912,7.51771,0.8100305,71,2
1,87.12458,102.31655,8.53498,1.924183,72,2
1,88.33904,102.84859,9.20702,2.18421,73,2
1,88.83752,101.45801,7.4976,1.453854,74,2
1,85.88879,97.11471,7.90492,3.994801,75,2
1,86.02505,99.1688,9.85286,2.451862,76,2
1,85.4949,100.147,9.71969,1.92919,77,2
1,86.66795,102.75241,11.89331,2.365755,78,2
1,87.61569,103.74946,12.82472,1.940058,79,2
1,89.36331,104.13766,13.36792,2.060987,80,2
1,87.3075,104.08744,14.79976,2.289393,81,2
1,88.95234,104.74706,17.51923,1.700224,82,2
1,86.92271,107.4695,16.15661,2.983186,83,2
1,87.66671,104.09258,14.15789,2.713691,84,2
1,90.19712,40.46955,47.49953,2.914369,85,2
1,90.74746,40.57873,45.00164,2.495973,86,2
1,95.59493,40.35391,44.53507,2.440927,87,2
1,98.20354,39.75988,42.1629,1.468653,88,2
1,99.44606,40.0116,41.81912,1.013065,89,2
1,97.38773,39.72608,43.54455,0.9138625,90,2
1,96.91574,38.5933,43.7171,1.367166,91,2
1,99.93944,37.77692,40.98534,1.848967,92,2
1,101.76281,37.49877,40.17316,1.583481,93,2
1,98.87366,38.1804,44.39988,1.737422,94,2
1,100.50682,38.62242,42.6881,1.002071,95,2
1,100.15386,40.70491,43.88547,1.974083,96,2
1,99.05537,41.58594,44.52212,1.918996,97,2
1,50.69807,161.53811,16.4269,1.166,98,2
1,47.67965,160.89752,12.17137,1.924365,99,2
1,47.22465,159.39294,13.90966,2.046733,100,2
1,43.28234,159.07931,9.4468,1.178613,101,2
1,37.18391,159.425,4.57656,1.772665,102,2
1,43.8904,160.42187,9.84866,1.707874,103,2
